WTI,SandP,DAX,Nasdaq
61.18,3257.85,13385.93,8872.22
63.05,3234.85,13219.14,8793.90
63.27,3246.28,13126.99,8848.51
62.70,3237.18,13226.83,8846.45
59.61,3253.05,13320.18,8912.37
59.56,3274.70,13495.06,8989.63
59.04,3265.35,13483.31,8966.64
58.08,3288.13,13451.52,9070.65
58.23,3283.15,13456.49,9033.42
57.81,3289.29,13432.30,9035.67
58.52,3316.81,13429.43,9125.00
58.54,3329.62,13526.13,9173.73
58.34,3320.79,13555.87,9166.63
56.74,3321.75,13515.75,9188.58
55.59,3325.54,13388.42,9216.98
54.19,3295.47,13576.68,9141.47
53.14,3243.63,13204.77,8952.18
53.48,3276.24,13323.69,9090.93
53.33,3273.40,13345.00,9101.61
52.14,3283.66,13157.12,9136.09
51.56,3225.52,12981.97,8991.51
50.11,3248.92,13045.19,9126.23
49.61,3297.59,13281.74,9334.05
50.75,3334.69,13478.33,9367.48
50.95,3345.78,13574.82,9445.92
50.32,3327.71,13513.81,9401.10
49.57,3352.09,13494.03,9516.84
49.94,3357.75,13627.84,9517.86
51.17,3379.45,13749.78,9613.20
51.42,3373.94,13745.43,9595.70
52.05,3380.16,13744.21,9623.58
52.05,3370.29,13681.19,9629.80
53.29,3386.15,13789.00,9718.73
53.78,3373.23,13664.00,9627.83
53.38,3337.75,13579.33,9446.69
51.43,3225.89,13035.24,9079.63
49.90,3128.21,12790.49,8834.87
48.73,3116.39,12774.88,8873.76
47.09,2978.76,12367.46,8436.67
44.76,2954.22,11890.35,8461.83
46.75,3090.23,11857.87,8877.98
47.18,3003.37,11985.39,8594.49
46.78,3130.12,12127.69,8949.28
45.90,3023.94,11944.72,8671.66
41.28,2972.37,11541.87,8530.34
31.13,2746.56,10625.02,7948.03
34.36,2882.23,10475.49,8372.26
32.98,2741.38,10438.68,8006.12
31.50,2480.64,9161.13,7263.65
31.73,2711.02,9232.08,7995.26
28.70,2386.13,8742.25,7020.38
26.95,2529.19,8939.10,7473.95
20.37,2398.10,8441.71,7175.18
25.22,2409.39,8610.43,7288.52
22.43,2304.92,8928.95,6994.29
23.36,2237.40,8741.15,7006.92
24.01,2447.33,9700.57,7553.83
24.49,2475.56,9874.26,7469.62
22.60,2630.07,10000.96,7897.13
21.51,2541.47,9632.52,7588.37
20.09,2626.65,9815.97,7889.01
20.48,2584.59,9935.84,7813.50
20.31,2470.50,9544.75,7486.29
25.32,2526.90,9570.82,7635.66
28.34,2488.65,9525.77,7528.11
26.08,2663.68,10075.17,8081.66
23.63,2659.41,10356.70,8049.31
25.09,2749.98,10332.89,8229.54
22.76,2789.82,10564.74,8238.53
20.11,2846.06,10696.56,8692.16
19.87,2783.36,10279.76,8591.96
19.87,2799.55,10301.54,8757.83
18.27,2874.56,10625.78,8832.41
10.01,2736.56,10249.85,8403.00
13.78,2799.31,10415.03,8664.63
16.50,2797.80,10513.79,8641.50
16.94,2836.74,10336.09,8786.60
12.78,2878.48,10659.99,8837.66
12.34,2863.39,10795.63,8677.60
15.06,2939.51,11107.74,8982.76
18.84,2912.43,10861.64,9000.51
20.39,2842.74,10466.80,8834.11
24.56,2868.44,10729.46,8930.62
23.99,2848.42,10606.20,8984.86
23.55,2881.19,10759.27,9101.88
24.74,2929.80,10904.48,9220.35
24.14,2930.32,10824.99,9298.92
25.78,2870.12,10819.50,9112.45
25.29,2820.00,10542.66,9000.08
27.56,2852.50,10337.02,9094.42
29.43,2863.70,10465.17,9152.64
31.82,2953.91,11058.87,9331.93
32.50,2922.94,11075.29,9298.54
33.49,2971.61,11223.71,9485.02
33.92,2948.51,11065.93,9377.99
33.25,2955.45,11073.87,9413.99
34.35,2991.77,11504.65,9389.98
32.81,3036.13,11657.69,9442.05
33.71,3029.73,11781.13,9416.71
35.49,3044.31,11586.85,9555.53
36.81,3080.82,12021.28,9657.31
37.29,3122.87,12487.36,9704.69
37.41,3112.35,12430.56,9629.66
39.55,3193.93,12847.68,9824.39
38.19,3232.39,12819.59,9901.52
38.94,3207.18,12617.99,9967.17
39.60,3190.14,12530.16,10094.26
36.34,3002.10,11970.29,9588.48
36.26,3041.31,11949.28,9663.78
37.12,3066.59,11911.35,9776.89
38.38,3124.74,12315.66,9949.37
37.96,3113.49,12382.14,9982.48
38.84,3115.34,12281.53,10012.05
39.75,3097.74,12330.76,10008.64
40.46,3117.86,12262.97,10130.33
40.37,3131.29,12523.76,10209.82
38.01,3050.33,12093.94,10002.70
38.72,3083.76,12177.87,10101.83
38.49,3009.05,12089.39,9849.36
39.70,3053.24,12232.12,9961.16
39.27,3100.29,12310.93,10156.85
39.82,3115.86,12260.57,10279.25
40.65,3130.01,12608.46,10341.89
40.63,3179.72,12733.45,10604.06
40.62,3145.32,12616.80,10524.01
40.90,3169.94,12494.81,10666.70
39.62,3152.05,12489.46,10754.59
40.55,3185.04,12633.71,10836.33
40.10,3155.22,12799.97,10602.21
40.29,3197.52,12697.36,10689.52
41.20,3226.56,12930.98,10701.68
40.75,3215.57,12874.97,10626.46
40.59,3224.73,12919.61,10645.22
40.81,3251.84,13046.92,10952.08
41.96,3257.30,13171.83,10833.07
41.90,3276.02,13104.25,10870.75
41.07,3235.66,13103.39,10580.59
41.29,3215.63,12838.06,10483.13
41.60,3239.41,12838.66,10674.38
41.04,3218.44,12835.28,10532.50
41.27,3258.44,12822.26,10662.98
39.92,3246.22,12379.65,10715.51
40.27,3271.12,12313.36,10905.88
41.01,3294.61,12646.98,11055.08
41.70,3306.51,12600.87,11096.54
42.19,3327.77,12660.25,11125.44
41.95,3349.16,12591.68,11267.08
41.22,3351.28,12674.88,11139.39
41.94,3360.47,12687.53,11085.17
41.61,3333.69,12946.89,10876.08
42.67,3380.35,13058.63,11157.72
42.24,3373.43,12993.71,11178.37
42.01,3372.85,12901.34,11164.45
42.89,3381.99,12920.66,11288.57
42.89,3389.78,12881.76,11399.03
42.93,3374.85,12977.33,11318.64
42.58,3385.51,12830.00,11477.05
42.34,3397.16,12764.80,11555.16
42.62,3431.28,13066.54,11626.17
43.35,3443.62,13061.62,11721.80
43.39,3478.73,13190.15,11971.94
43.04,3484.55,13096.36,11926.16
42.97,3508.01,13033.20,11995.86
42.61,3500.31,12945.38,12110.70
42.76,3526.65,12974.25,12292.86
41.51,3580.84,13243.43,12420.54
41.37,3455.06,13057.77,11771.37
39.77,3426.96,12842.66,11622.13
36.76,3331.84,12968.33,11068.26
38.05,3398.96,13237.21,11395.85
37.30,3339.19,13208.89,11154.12
37.33,3340.97,13202.84,11087.40
37.26,3383.54,13193.66,11277.76
38.28,3401.20,13217.67,11438.87
40.16,3385.49,13255.37,11247.60
40.97,3357.01,13208.12,11080.95
41.11,3319.47,13116.25,10936.98
39.31,3281.06,12542.44,10980.22
39.60,3315.57,12594.39,11186.37
39.93,3236.92,12642.97,10833.33
40.31,3246.59,12606.57,10896.47
40.25,3298.46,12469.20,11151.13
40.60,3351.60,12870.87,11364.45
39.29,3335.47,12825.82,11322.95
40.22,3363.00,12760.73,11418.06
38.72,3380.80,12730.77,11583.20
37.05,3348.44,12689.04,11255.69
39.22,3408.63,12828.31,11509.06
40.67,3360.95,12906.02,11291.27
39.95,3419.45,12928.57,11503.19
41.19,3446.83,13042.21,11550.94
40.60,3477.13,13051.23,11725.85
39.43,3534.22,13138.41,12088.11
40.20,3511.93,13018.99,12083.17
41.04,3488.67,13028.06,11985.36
40.96,3483.34,12703.75,11898.57
40.88,3483.81,12908.99,11852.17
40.83,3426.92,12854.66,11634.35
41.46,3443.12,12736.95,11677.84
40.03,3435.56,12557.64,11665.37
40.64,3453.49,12543.06,11662.91
39.85,3465.39,12645.75,11692.57
38.56,3400.97,12177.18,11504.52
39.57,3390.68,12063.57,11598.95
37.39,3271.03,11560.51,11142.76
36.17,3310.11,11598.07,11350.74
35.79,3269.96,11556.48,11052.95
36.81,3310.24,11784.10,11084.76
37.66,3369.16,12088.98,11279.91
39.15,3443.44,12324.22,11777.02
38.79,3510.45,12568.09,12078.07
37.14,3509.44,12480.02,12091.35
40.29,3550.50,13095.97,11830.38
41.36,3545.53,13163.11,11624.29
41.45,3572.66,13216.18,11892.93
41.12,3537.01,13052.95,11827.14
40.13,3585.15,13076.72,11937.84
41.34,3626.91,13138.61,12013.38
41.43,3609.53,13133.47,11977.49
41.82,3567.79,13201.89,11894.71
41.74,3581.87,13086.16,11985.43
42.15,3557.54,13137.25,11906.44
43.06,3577.59,13126.97,11905.94
44.91,3635.41,13292.44,12079.81
45.71,3629.65,13289.80,12152.21
45.53,3638.35,13335.68,12258.21
45.34,3621.63,13291.16,12268.32
44.55,3662.45,13382.30,12455.33
45.28,3669.01,13313.24,12456.41
45.64,3666.72,13252.86,12467.13
46.26,3699.12,13298.96,12528.48
45.76,3691.96,13271.00,12596.47
45.60,3702.25,13278.49,12635.72
45.52,3672.82,13340.26,12364.64
46.78,3668.10,13295.73,12401.74
46.57,3663.46,13114.30,12375.41
46.99,3647.49,13223.16,12462.21
47.62,3694.62,13362.87,12595.92
47.82,3701.17,13565.98,12668.16
48.36,3722.48,13667.25,12752.06
49.10,3709.41,13630.51,12738.18
47.74,3694.92,13246.30,12690.26
47.02,3687.26,13418.11,12717.56
48.12,3690.01,13587.23,12653.14
47.62,3735.36,13790.29,12838.86
48.00,3727.04,13761.38,12843.49
48.40,3732.04,13718.78,12845.36
